epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,913.352,1.84686,2.64655,1.95849,0.38975,0.32,0.33938,0.09516,2.36592,5.24207,2.53241,0.000664093,0.000664093,0.000664093
2,1699.4,1.84369,2.31688,1.95109,0.85658,0.36,0.45633,0.16587,2.35388,3.42856,2.33743,0.00130441,0.00130441,0.00130441
3,2484.7,1.833,2.25899,1.97212,1,0.27398,0.37731,0.15083,2.2628,3.22334,2.3929,0.00191833,0.00191833,0.00191833
4,3270.34,1.83349,2.17737,1.94393,0.65792,0.48,0.49613,0.18536,2.29816,2.5424,2.19688,0.0018812,0.0018812,0.0018812
5,4053.63,1.8059,2.12605,1.92409,0.45561,0.64,0.43498,0.151,2.28809,2.56743,2.23109,0.0018416,0.0018416,0.0018416
6,4841.11,1.77908,2.05317,1.89976,0.52416,0.6,0.59685,0.27476,2.05447,2.01349,1.95327,0.001802,0.001802,0.001802
7,5620.06,1.72332,1.96681,1.85428,0.82885,0.38817,0.56101,0.20393,2.36267,2.00683,2.23961,0.0017624,0.0017624,0.0017624
8,6399.11,1.71675,1.90683,1.84069,0.61588,0.57762,0.54141,0.20156,2.17027,2.15139,2.14385,0.0017228,0.0017228,0.0017228
9,7178.02,1.6831,1.89361,1.83678,0.91722,0.44347,0.54504,0.13565,2.42178,2.16347,2.26167,0.0016832,0.0016832,0.0016832
10,7956.36,1.68589,1.86707,1.81455,0.77051,0.53775,0.63242,0.18759,2.3897,2.26187,2.27572,0.0016436,0.0016436,0.0016436
11,8736.14,1.66499,1.84011,1.79275,0.8993,0.56,0.69663,0.29481,2.12428,1.92124,2.0981,0.001604,0.001604,0.001604
12,9515.06,1.62813,1.76374,1.77514,0.59119,0.52064,0.55902,0.20319,2.3839,2.36971,2.33822,0.0015644,0.0015644,0.0015644
13,10294,1.64204,1.76018,1.77395,0.79369,0.52,0.55441,0.18865,2.34914,2.24125,2.2169,0.0015248,0.0015248,0.0015248
14,11079.8,1.62817,1.74641,1.74908,0.81142,0.51654,0.5741,0.25204,2.33381,2.00146,2.20714,0.0014852,0.0014852,0.0014852
15,11879.3,1.60514,1.71059,1.74024,0.84252,0.56,0.6989,0.23643,2.31043,2.18566,2.17509,0.0014456,0.0014456,0.0014456
16,12659.8,1.58962,1.63765,1.721,0.66365,0.56,0.62478,0.19816,2.42293,1.8963,2.39237,0.001406,0.001406,0.001406
17,13455,1.57855,1.63858,1.72512,0.87846,0.57881,0.73355,0.27546,2.21671,1.59658,2.09964,0.0013664,0.0013664,0.0013664
18,14242.1,1.5797,1.62592,1.71667,0.88183,0.64,0.70095,0.3048,2.05698,1.66586,1.93091,0.0013268,0.0013268,0.0013268
19,15026.7,1.56231,1.55165,1.69903,0.73899,0.72,0.75013,0.30277,2.14819,1.38406,2.0247,0.0012872,0.0012872,0.0012872
20,15812.5,1.57487,1.6007,1.70943,0.72357,0.64,0.71,0.30425,2.14116,1.63019,2.03333,0.0012476,0.0012476,0.0012476
21,16598.3,1.53631,1.55027,1.68969,0.93643,0.58972,0.71831,0.27699,2.12672,1.88764,2.04128,0.001208,0.001208,0.001208
22,17384.2,1.53536,1.54759,1.687,0.75695,0.52,0.62887,0.27847,2.02452,1.77304,2.01054,0.0011684,0.0011684,0.0011684
23,18168.2,1.53684,1.53101,1.67706,0.7478,0.72,0.72138,0.27647,2.34536,1.88599,2.1342,0.0011288,0.0011288,0.0011288
24,18951.7,1.51986,1.51495,1.66892,0.88076,0.64,0.72658,0.28377,2.21058,1.42298,2.0841,0.0010892,0.0010892,0.0010892
25,19739.5,1.51061,1.49367,1.67299,0.66633,0.55919,0.63172,0.25928,2.02705,1.78547,1.9115,0.0010496,0.0010496,0.0010496
26,20520.4,1.51041,1.48181,1.66351,0.86452,0.68,0.74093,0.32856,2.13021,1.57393,1.98638,0.00101,0.00101,0.00101
27,21300.9,1.50358,1.45638,1.65698,0.81421,0.6,0.74693,0.24895,2.29126,1.59273,2.19643,0.0009704,0.0009704,0.0009704
28,22082.2,1.49269,1.44974,1.63281,0.87634,0.68,0.79208,0.29182,2.27112,1.4492,2.15637,0.0009308,0.0009308,0.0009308
29,22865.3,1.47953,1.44435,1.64519,0.88114,0.72,0.775,0.34394,2.05117,1.4807,1.92782,0.0008912,0.0008912,0.0008912
30,23659.6,1.47605,1.40834,1.6374,0.88867,0.63864,0.76827,0.33964,2.05122,1.41586,1.91437,0.0008516,0.0008516,0.0008516
31,24454.8,1.47452,1.39626,1.638,0.86811,0.6,0.76958,0.27412,2.39528,1.51265,2.2332,0.000812,0.000812,0.000812
32,25247.6,1.44209,1.36237,1.61336,1,0.67261,0.80283,0.3589,2.06933,1.2531,1.94827,0.0007724,0.0007724,0.0007724
33,26053.4,1.4635,1.3765,1.62702,0.92942,0.64,0.77009,0.34029,2.09555,1.35736,1.98685,0.0007328,0.0007328,0.0007328
34,26879.3,1.45983,1.37682,1.61302,0.94496,0.64,0.76224,0.34367,1.91457,1.47668,1.84156,0.0006932,0.0006932,0.0006932
35,27714.3,1.45557,1.35531,1.61351,0.97568,0.64,0.74972,0.38937,1.76163,1.56749,1.76347,0.0006536,0.0006536,0.0006536
36,28520.5,1.44699,1.34637,1.61572,0.94111,0.76,0.81238,0.37184,2.08268,1.26432,1.94716,0.000614,0.000614,0.000614
37,29372,1.43607,1.32901,1.60449,0.72851,0.75161,0.80447,0.36769,2.08434,1.195,1.95442,0.0005744,0.0005744,0.0005744
38,30176.9,1.40926,1.27764,1.59462,0.95169,0.64,0.81379,0.28513,2.23781,1.33321,2.12665,0.0005348,0.0005348,0.0005348
39,30989,1.39192,1.27913,1.5673,0.84095,0.63474,0.71297,0.30832,2.18607,1.23709,2.07271,0.0004952,0.0004952,0.0004952
40,31782.4,1.38899,1.24013,1.55532,0.99721,0.68,0.77942,0.34404,1.96891,1.33921,1.95647,0.0004556,0.0004556,0.0004556
41,32568.6,1.39702,1.115,1.60759,0.80602,0.83131,0.83861,0.36995,2.00456,1.10171,1.97114,0.000416,0.000416,0.000416
42,33352.1,1.36763,1.05802,1.58287,0.97956,0.68,0.84742,0.34733,2.03877,1.22984,1.94256,0.0003764,0.0003764,0.0003764
43,34135.7,1.35558,1.04578,1.58364,0.89225,0.64,0.80776,0.34927,1.99498,1.12377,1.9805,0.0003368,0.0003368,0.0003368
44,34920.8,1.34535,1.02486,1.57628,0.8497,0.67846,0.764,0.37099,2.01666,1.19193,1.91275,0.0002972,0.0002972,0.0002972
45,35704.3,1.32529,0.99839,1.55423,0.87383,0.83136,0.85045,0.35223,2.10652,1.09368,1.99709,0.0002576,0.0002576,0.0002576
46,36487.7,1.3133,0.97651,1.54618,0.86239,0.75231,0.83605,0.33461,2.08549,1.14012,1.96531,0.000218,0.000218,0.000218
47,37292,1.29742,0.95501,1.53643,0.91183,0.8,0.8506,0.36216,2.00353,1.1076,1.89447,0.0001784,0.0001784,0.0001784
48,38073.2,1.30369,0.96103,1.53518,0.7836,0.92,0.88114,0.40038,1.96367,1.07427,1.86568,0.0001388,0.0001388,0.0001388
49,38852.6,1.27371,0.935,1.51966,0.84342,0.92,0.87732,0.39842,1.9691,1.05682,1.89763,9.92e-05,9.92e-05,9.92e-05
50,39631.6,1.26031,0.92334,1.51285,0.83938,0.92,0.89805,0.39331,1.99076,1.05529,1.88872,5.96e-05,5.96e-05,5.96e-05
